epoch_cnt: 39, time: 304.61s, tr_loss: 2.91, val_loss: 4.04, F1_overall: 0.61, ER_overall: 0.60, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.35, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 36
epoch_cnt: 40, time: 306.88s, tr_loss: 2.87, val_loss: 4.10, F1_overall: 0.61, ER_overall: 0.61, doa_error_gt: 0.83, doa_error_pred: 0.62, good_pks_ratio:0.36, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 36
epoch_cnt: 41, time: 317.35s, tr_loss: 2.83, val_loss: 4.04, F1_overall: 0.61, ER_overall: 0.60, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.35, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 36
epoch_cnt: 42, time: 357.67s, tr_loss: 2.79, val_loss: 4.10, F1_overall: 0.61, ER_overall: 0.61, doa_error_gt: 0.82, doa_error_pred: 0.62, good_pks_ratio:0.36, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 36
epoch_cnt: 43, time: 393.18s, tr_loss: 2.77, val_loss: 4.13, F1_overall: 0.62, ER_overall: 0.61, doa_error_gt: 0.82, doa_error_pred: 0.62, good_pks_ratio:0.37, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 43
epoch_cnt: 44, time: 500.51s, tr_loss: 2.73, val_loss: 4.05, F1_overall: 0.62, ER_overall: 0.59, doa_error_gt: 0.82, doa_error_pred: 0.62, good_pks_ratio:0.35, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 45, time: 611.40s, tr_loss: 2.69, val_loss: 4.17, F1_overall: 0.61, ER_overall: 0.66, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.38, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 46, time: 630.62s, tr_loss: 2.66, val_loss: 4.14, F1_overall: 0.61, ER_overall: 0.64, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.37, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 47, time: 339.86s, tr_loss: 2.63, val_loss: 4.18, F1_overall: 0.61, ER_overall: 0.63, doa_error_gt: 0.82, doa_error_pred: 0.62, good_pks_ratio:0.37, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 48, time: 319.13s, tr_loss: 2.61, val_loss: 4.10, F1_overall: 0.62, ER_overall: 0.63, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.38, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 49, time: 307.31s, tr_loss: 2.58, val_loss: 4.13, F1_overall: 0.61, ER_overall: 0.65, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.38, error_metric: 0.48, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 50, time: 309.21s, tr_loss: 2.54, val_loss: 4.09, F1_overall: 0.62, ER_overall: 0.65, doa_error_gt: 0.81, doa_error_pred: 0.61, good_pks_ratio:0.39, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 51, time: 308.97s, tr_loss: 2.51, val_loss: 4.18, F1_overall: 0.61, ER_overall: 0.62, doa_error_gt: 0.81, doa_error_pred: 0.62, good_pks_ratio:0.38, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 44
epoch_cnt: 52, time: 309.63s, tr_loss: 2.48, val_loss: 4.10, F1_overall: 0.62, ER_overall: 0.61, doa_error_gt: 0.82, doa_error_pred: 0.61, good_pks_ratio:0.36, error_metric: 0.47, best_error_metric: 0.47, best_epoch : 44
