Relying on driver to perform ptx compilation. This message will be only logged once.
epoch_cnt: 38, time: 300.74s, tr_loss: 0.92, val_loss: 1.47, F1_overall: 0.79, ER_overall: 0.41, doa_error_gt: 0.54, doa_error_pred: 0.43, good_pks_ratio:0.60, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 37
epoch_cnt: 39, time: 301.61s, tr_loss: 0.90, val_loss: 1.51, F1_overall: 0.78, ER_overall: 0.41, doa_error_gt: 0.55, doa_error_pred: 0.43, good_pks_ratio:0.60, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 37
epoch_cnt: 40, time: 301.91s, tr_loss: 0.89, val_loss: 1.54, F1_overall: 0.78, ER_overall: 0.41, doa_error_gt: 0.55, doa_error_pred: 0.43, good_pks_ratio:0.59, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 37
epoch_cnt: 41, time: 303.66s, tr_loss: 0.87, val_loss: 1.45, F1_overall: 0.79, ER_overall: 0.39, doa_error_gt: 0.53, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.29, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 42, time: 305.13s, tr_loss: 0.87, val_loss: 1.50, F1_overall: 0.78, ER_overall: 0.42, doa_error_gt: 0.53, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 43, time: 304.68s, tr_loss: 0.86, val_loss: 1.50, F1_overall: 0.78, ER_overall: 0.42, doa_error_gt: 0.54, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 44, time: 305.18s, tr_loss: 0.84, val_loss: 1.53, F1_overall: 0.77, ER_overall: 0.46, doa_error_gt: 0.54, doa_error_pred: 0.43, good_pks_ratio:0.59, error_metric: 0.32, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 45, time: 303.54s, tr_loss: 0.83, val_loss: 1.51, F1_overall: 0.77, ER_overall: 0.45, doa_error_gt: 0.53, doa_error_pred: 0.43, good_pks_ratio:0.61, error_metric: 0.31, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 46, time: 305.12s, tr_loss: 0.82, val_loss: 1.45, F1_overall: 0.79, ER_overall: 0.39, doa_error_gt: 0.53, doa_error_pred: 0.41, good_pks_ratio:0.60, error_metric: 0.29, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 47, time: 304.19s, tr_loss: 0.82, val_loss: 1.49, F1_overall: 0.78, ER_overall: 0.42, doa_error_gt: 0.53, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 48, time: 303.46s, tr_loss: 0.81, val_loss: 1.47, F1_overall: 0.78, ER_overall: 0.40, doa_error_gt: 0.53, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 49, time: 303.82s, tr_loss: 0.80, val_loss: 1.52, F1_overall: 0.77, ER_overall: 0.45, doa_error_gt: 0.54, doa_error_pred: 0.43, good_pks_ratio:0.60, error_metric: 0.31, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 50, time: 304.42s, tr_loss: 0.79, val_loss: 1.47, F1_overall: 0.79, ER_overall: 0.41, doa_error_gt: 0.53, doa_error_pred: 0.42, good_pks_ratio:0.62, error_metric: 0.29, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 51, time: 304.92s, tr_loss: 0.78, val_loss: 1.46, F1_overall: 0.78, ER_overall: 0.43, doa_error_gt: 0.53, doa_error_pred: 0.41, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 52, time: 304.15s, tr_loss: 0.77, val_loss: 1.47, F1_overall: 0.77, ER_overall: 0.44, doa_error_gt: 0.52, doa_error_pred: 0.41, good_pks_ratio:0.62, error_metric: 0.31, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 53, time: 304.35s, tr_loss: 0.76, val_loss: 1.48, F1_overall: 0.78, ER_overall: 0.42, doa_error_gt: 0.53, doa_error_pred: 0.41, good_pks_ratio:0.62, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 54, time: 305.59s, tr_loss: 0.75, val_loss: 1.46, F1_overall: 0.78, ER_overall: 0.43, doa_error_gt: 0.52, doa_error_pred: 0.42, good_pks_ratio:0.63, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 55, time: 304.98s, tr_loss: 0.75, val_loss: 1.46, F1_overall: 0.78, ER_overall: 0.41, doa_error_gt: 0.52, doa_error_pred: 0.41, good_pks_ratio:0.62, error_metric: 0.29, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 56, time: 304.02s, tr_loss: 0.74, val_loss: 1.54, F1_overall: 0.77, ER_overall: 0.47, doa_error_gt: 0.53, doa_error_pred: 0.43, good_pks_ratio:0.60, error_metric: 0.32, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 57, time: 303.06s, tr_loss: 0.74, val_loss: 1.51, F1_overall: 0.77, ER_overall: 0.45, doa_error_gt: 0.53, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.31, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 58, time: 306.20s, tr_loss: 0.72, val_loss: 1.47, F1_overall: 0.78, ER_overall: 0.43, doa_error_gt: 0.52, doa_error_pred: 0.41, good_pks_ratio:0.62, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 59, time: 301.96s, tr_loss: 0.72, val_loss: 1.47, F1_overall: 0.78, ER_overall: 0.42, doa_error_gt: 0.52, doa_error_pred: 0.41, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 60, time: 304.05s, tr_loss: 0.71, val_loss: 1.45, F1_overall: 0.78, ER_overall: 0.42, doa_error_gt: 0.53, doa_error_pred: 0.41, good_pks_ratio:0.62, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 61, time: 305.83s, tr_loss: 0.71, val_loss: 1.46, F1_overall: 0.79, ER_overall: 0.42, doa_error_gt: 0.52, doa_error_pred: 0.41, good_pks_ratio:0.61, error_metric: 0.30, best_error_metric: 0.29, best_epoch : 41
epoch_cnt: 62, time: 305.54s, tr_loss: 0.70, val_loss: 1.51, F1_overall: 0.77, ER_overall: 0.46, doa_error_gt: 0.52, doa_error_pred: 0.42, good_pks_ratio:0.61, error_metric: 0.31, best_error_metric: 0.29, best_epoch : 41
